stage,seed,severity,condition,probe,network,a1_frequency_passed,target_response_coverage,response_coverage_passed,transfer_valid,evoked_fc_split_abs_z,fc_valid_fraction,functional_connectivity_valid,latency_valid_fraction,median_pulse_tail_energy_fraction,response_latency_valid,target_frequency_qa_valid_fraction,frequency_locked_transfer_valid,transfer_split_abs_log2,transfer_nonstationary_flag,required_metric_gate_passed
complete_main,461,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019230569289496735,1.0,True,,,False,1.0,True,8.755321835686873e-05,False,True
complete_main,503,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.46474342772144e-08,True,,False,,False,True
complete_main,503,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.313750621577219e-08,True,,False,,False,True
complete_main,503,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013635007553949308,1.0,True,,,False,1.0,True,0.0009045604066193278,False,True
complete_main,503,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.003139711040170745,1.0,True,,,False,1.0,True,0.0003051459615898992,False,True
complete_main,503,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014465694561449638,1.0,True,,,False,1.0,True,0.00032526699024988757,False,True
complete_main,503,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019237987309828064,1.0,True,,,False,1.0,True,8.836165670138545e-05,False,True
complete_main,11,0.5,Intermediate AD-like perturbation,pulse,semantic_expanded,True,1.0,True,False,,,False,0.3076923076923077,0.31143175293472913,False,,False,,False,False
complete_main,11,0.5,Intermediate AD-like perturbation,pulse,episodic_expanded,True,1.0,True,False,,,False,0.0,0.3932045963558052,False,,False,,False,False
complete_main,11,0.5,Intermediate AD-like perturbation,2Hz,semantic_expanded,True,1.0,True,True,0.07257127616012207,1.0,True,,,False,0.0,False,1.2199496402122088,True,True
complete_main,11,0.5,Intermediate AD-like perturbation,2Hz,episodic_expanded,True,1.0,True,True,0.07674655484037779,1.0,True,,,False,0.0,False,1.0492933968805715,True,True
complete_main,11,0.5,Intermediate AD-like perturbation,5Hz,semantic_expanded,True,1.0,True,True,0.06972202888925945,1.0,True,,,False,0.0,False,1.126767850289937,True,True
complete_main,11,0.5,Intermediate AD-like perturbation,5Hz,episodic_expanded,True,1.0,True,True,0.07490501659751075,1.0,True,,,False,0.05263157894736842,False,0.6448973782880452,False,True
complete_main,23,0.5,Intermediate AD-like perturbation,pulse,semantic_expanded,True,1.0,True,False,,,False,0.7692307692307693,0.13550602107129303,False,,False,,False,False
complete_main,23,0.5,Intermediate AD-like perturbation,pulse,episodic_expanded,True,1.0,True,False,,,False,0.7368421052631579,0.1091360376294617,False,,False,,False,False
complete_main,23,0.5,Intermediate AD-like perturbation,2Hz,semantic_expanded,True,1.0,True,True,0.025553058973874637,1.0,True,,,False,0.07692307692307693,False,1.3342659525190887,True,True
complete_main,23,0.5,Intermediate AD-like perturbation,2Hz,episodic_expanded,True,1.0,True,True,0.026194087144801204,1.0,True,,,False,0.05263157894736842,False,1.2026637764493924,True,True
complete_main,23,0.5,Intermediate AD-like perturbation,5Hz,semantic_expanded,True,1.0,True,True,0.06379199780449685,1.0,True,,,False,0.7692307692307693,False,1.2972196512735523,True,True
complete_main,23,0.5,Intermediate AD-like perturbation,5Hz,episodic_expanded,True,1.0,True,True,0.07672807764168643,1.0,True,,,False,0.8947368421052632,True,1.2858784059786543,True,True
complete_main,37,0.5,Intermediate AD-like perturbation,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,0.07133915843744841,True,,False,,False,True
complete_main,37,0.5,Intermediate AD-like perturbation,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,0.07461049359573914,True,,False,,False,True
complete_main,37,0.5,Intermediate AD-like perturbation,2Hz,semantic_expanded,True,1.0,True,True,0.023497505335274973,1.0,True,,,False,0.46153846153846156,False,0.5194313212531774,False,True
complete_main,37,0.5,Intermediate AD-like perturbation,2Hz,episodic_expanded,True,1.0,True,True,5.371060013886764e-06,1.0,True,,,False,0.8947368421052632,True,0.9494714703150609,False,True
complete_main,37,0.5,Intermediate AD-like perturbation,5Hz,semantic_expanded,True,1.0,True,True,0.029883700020888988,1.0,True,,,False,0.6923076923076923,False,3.2014281240203943,True,True
complete_main,37,0.5,Intermediate AD-like perturbation,5Hz,episodic_expanded,True,1.0,True,True,0.08129162757753677,1.0,True,,,False,0.8421052631578947,True,2.8238899067226977,True,True
complete_main,53,0.5,Intermediate AD-like perturbation,pulse,semantic_expanded,True,1.0,True,False,,,False,0.8461538461538461,0.01602218571358747,True,,False,,False,True
complete_main,53,0.5,Intermediate AD-like perturbation,pulse,episodic_expanded,True,1.0,True,False,,,False,0.9473684210526315,0.014269410647658527,True,,False,,False,True
complete_main,53,0.5,Intermediate AD-like perturbation,2Hz,semantic_expanded,True,1.0,True,True,0.07612417797876952,1.0,True,,,False,0.46153846153846156,False,5.181972129768099,True,True
complete_main,53,0.5,Intermediate AD-like perturbation,2Hz,episodic_expanded,True,1.0,True,True,0.04336023855997958,1.0,True,,,False,0.7368421052631579,False,4.5361770076392345,True,True
