condition,severity,seed,probe,network,target_response_coverage,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,evoked_fc_split_abs_z
Baseline,0.0,89,2Hz,semantic_expanded,1.0,0.0009053837502742919,False,-0.0002328135481890037,0.0002796269842072715,31.59529907141339,0.9999985205555584,1.0,0.013685107633516047
Baseline,0.0,107,2Hz,episodic_expanded,1.0,0.0003050475427567955,False,-8.087434394612459e-05,0.0005528512578499098,31.58286941723994,0.9999996464132986,1.0,0.0032073117659234818
Baseline,0.0,107,2Hz,semantic_expanded,1.0,0.0009108683734770105,False,-0.0002345772405135449,0.0002796269842072715,31.59538655384365,0.9999984877396915,1.0,0.013854773034223111
Baseline,0.0,127,2Hz,episodic_expanded,1.0,0.0003049162490956391,False,-8.051865428964078e-05,0.000552851257849758,31.582708431005027,0.9999996537913554,1.0,0.0031517652207639912
Baseline,0.0,127,2Hz,semantic_expanded,1.0,0.0009029485082137982,False,-0.00023215259232589602,0.0002796269842072993,31.595182383523287,0.9999985226266276,1.0,0.013628977028858014
Baseline,0.0,149,2Hz,episodic_expanded,1.0,0.0003045919451841955,False,-8.035194336608598e-05,0.0005528512578493288,31.582660458492924,0.9999996546179614,1.0,0.0031320743896752212
Baseline,0.0,149,2Hz,semantic_expanded,1.0,0.0009027595812332023,False,-0.00023193167854111964,0.0002796269842072715,31.595297599005235,0.999998512475737,1.0,0.013598424275296672
Baseline,0.0,173,2Hz,episodic_expanded,1.0,0.00030483655410112263,False,-8.06233792197908e-05,0.0005528512578497197,31.582703771631056,0.9999996561076093,1.0,0.00314869278985741
Baseline,0.0,173,2Hz,semantic_expanded,1.0,0.0009054330235662587,False,-0.00023287303078340927,0.0002796269842072715,31.595321440276845,0.9999985114172565,1.0,0.0136616337630322
Baseline,0.0,197,2Hz,episodic_expanded,1.0,0.0003063998539983641,False,-8.138664674914864e-05,0.0005528512578498238,31.582859843731427,0.999999643688469,1.0,0.003190339223017702
Baseline,0.0,197,2Hz,semantic_expanded,1.0,0.0009130118280284503,False,-0.00023533191882947336,0.0002796269842072715,31.595418479392563,0.9999985052430419,1.0,0.013830167306412733
Baseline,0.0,223,2Hz,episodic_expanded,1.0,0.00030423375333827484,False,-8.044217299065793e-05,0.0005528512578501488,31.58290124300315,0.9999996455845128,1.0,0.003180636627227784
Baseline,0.0,223,2Hz,semantic_expanded,1.0,0.0009060189416422613,False,-0.00023306347806171246,0.0002796269842070028,31.595263810961136,0.9999985047952953,1.0,0.013751216339687122
