severity,seed,probe,network,metric,difference,old_pointwise_tolerance,within_old_pointwise_tolerance
1.0,461,2Hz,episodic_expanded,functional_connectivity,0.00025350116132355147,0.05,True
1.0,461,2Hz,semantic_expanded,functional_connectivity,0.002757666815563312,0.05,True
1.0,503,2Hz,episodic_expanded,functional_connectivity,0.0011392258781026884,0.05,True
1.0,503,2Hz,semantic_expanded,functional_connectivity,0.001870914738337965,0.05,True
0.0,11,5Hz,episodic_expanded,functional_connectivity,0.009473099176704025,0.05,True
0.0,11,5Hz,semantic_expanded,functional_connectivity,0.009533096861863877,0.05,True
0.0,23,5Hz,episodic_expanded,functional_connectivity,0.009475251418489261,0.05,True
0.0,23,5Hz,semantic_expanded,functional_connectivity,0.009534380471064585,0.05,True
0.0,37,5Hz,episodic_expanded,functional_connectivity,0.009474228767608839,0.05,True
0.0,37,5Hz,semantic_expanded,functional_connectivity,0.009535589144294088,0.05,True
0.0,53,5Hz,episodic_expanded,functional_connectivity,0.009473485269584359,0.05,True
0.0,53,5Hz,semantic_expanded,functional_connectivity,0.009532341982243508,0.05,True
0.0,71,5Hz,episodic_expanded,functional_connectivity,0.00947402857156554,0.05,True
0.0,71,5Hz,semantic_expanded,functional_connectivity,0.009535283714486642,0.05,True
0.0,89,5Hz,episodic_expanded,functional_connectivity,0.009472863739002246,0.05,True
0.0,89,5Hz,semantic_expanded,functional_connectivity,0.009532217332439918,0.05,True
0.0,107,5Hz,episodic_expanded,functional_connectivity,0.009472356632465484,0.05,True
0.0,107,5Hz,semantic_expanded,functional_connectivity,0.00952899247810457,0.05,True
0.0,127,5Hz,episodic_expanded,functional_connectivity,0.009472796883136292,0.05,True
0.0,127,5Hz,semantic_expanded,functional_connectivity,0.009533068198036343,0.05,True
0.0,149,5Hz,episodic_expanded,functional_connectivity,0.009473835057659974,0.05,True
0.0,149,5Hz,semantic_expanded,functional_connectivity,0.009534322277756191,0.05,True
0.0,173,5Hz,episodic_expanded,functional_connectivity,0.009473724010496065,0.05,True
0.0,173,5Hz,semantic_expanded,functional_connectivity,0.00953490984541805,0.05,True
0.0,197,5Hz,episodic_expanded,functional_connectivity,0.00947265433728317,0.05,True
0.0,197,5Hz,semantic_expanded,functional_connectivity,0.00952958734066267,0.05,True
0.0,223,5Hz,episodic_expanded,functional_connectivity,0.009473434625929755,0.05,True
0.0,223,5Hz,semantic_expanded,functional_connectivity,0.00953068042901517,0.05,True
0.0,251,5Hz,episodic_expanded,functional_connectivity,0.00947377642788183,0.05,True
0.0,251,5Hz,semantic_expanded,functional_connectivity,0.009534639332380968,0.05,True
0.0,281,5Hz,episodic_expanded,functional_connectivity,0.009473887472899012,0.05,True
0.0,281,5Hz,semantic_expanded,functional_connectivity,0.009535052045682946,0.05,True
0.0,313,5Hz,episodic_expanded,functional_connectivity,0.009473274161296619,0.05,True
0.0,313,5Hz,semantic_expanded,functional_connectivity,0.009534523451851129,0.05,True
0.0,347,5Hz,episodic_expanded,functional_connectivity,0.00947485405226578,0.05,True
0.0,347,5Hz,semantic_expanded,functional_connectivity,0.009535334577028376,0.05,True
0.0,383,5Hz,episodic_expanded,functional_connectivity,0.00947435916050865,0.05,True
0.0,383,5Hz,semantic_expanded,functional_connectivity,0.009533837338348672,0.05,True
0.0,421,5Hz,episodic_expanded,functional_connectivity,0.009472902972336605,0.05,True
0.0,421,5Hz,semantic_expanded,functional_connectivity,0.009532489331636862,0.05,True
0.0,461,5Hz,episodic_expanded,functional_connectivity,0.009473887680205184,0.05,True
0.0,461,5Hz,semantic_expanded,functional_connectivity,0.009535021761494455,0.05,True
0.0,503,5Hz,episodic_expanded,functional_connectivity,0.009473998179244658,0.05,True
0.0,503,5Hz,semantic_expanded,functional_connectivity,0.009534449909723186,0.05,True
1.0,11,5Hz,episodic_expanded,functional_connectivity,9.640119348407195e-05,0.05,True
1.0,11,5Hz,semantic_expanded,functional_connectivity,0.0015337504554891186,0.05,True
1.0,23,5Hz,episodic_expanded,functional_connectivity,0.0020538314415792513,0.05,True
1.0,23,5Hz,semantic_expanded,functional_connectivity,7.301838603889985e-05,0.05,True
1.0,37,5Hz,episodic_expanded,functional_connectivity,0.03492874725192024,0.05,True
1.0,37,5Hz,semantic_expanded,functional_connectivity,0.04346130160209602,0.05,True
1.0,53,5Hz,episodic_expanded,functional_connectivity,0.019460282855578007,0.05,True
1.0,53,5Hz,semantic_expanded,functional_connectivity,0.008523832027290484,0.05,True
1.0,71,5Hz,episodic_expanded,functional_connectivity,0.005200601830872252,0.05,True
1.0,71,5Hz,semantic_expanded,functional_connectivity,0.0018131822967203549,0.05,True
1.0,89,5Hz,episodic_expanded,functional_connectivity,0.011511783806949547,0.05,True
1.0,89,5Hz,semantic_expanded,functional_connectivity,0.0037788107180547204,0.05,True
1.0,107,5Hz,episodic_expanded,functional_connectivity,0.027784624239815717,0.05,True
1.0,107,5Hz,semantic_expanded,functional_connectivity,0.011023032378223795,0.05,True
1.0,127,5Hz,episodic_expanded,functional_connectivity,0.0013512182344688622,0.05,True
1.0,127,5Hz,semantic_expanded,functional_connectivity,0.023264163147223967,0.05,True
1.0,149,5Hz,episodic_expanded,functional_connectivity,0.017777417025648258,0.05,True
1.0,149,5Hz,semantic_expanded,functional_connectivity,0.0033818322830385487,0.05,True
1.0,173,5Hz,episodic_expanded,functional_connectivity,0.009410652607600385,0.05,True
1.0,173,5Hz,semantic_expanded,functional_connectivity,0.01621346007492249,0.05,True
1.0,197,5Hz,episodic_expanded,functional_connectivity,0.006382164353601595,0.05,True
1.0,197,5Hz,semantic_expanded,functional_connectivity,0.0011922412821026612,0.05,True
1.0,223,5Hz,episodic_expanded,functional_connectivity,0.02056208967648944,0.05,True
1.0,223,5Hz,semantic_expanded,functional_connectivity,0.009583702801929092,0.05,True
1.0,251,5Hz,episodic_expanded,functional_connectivity,0.007258727018230236,0.05,True
1.0,251,5Hz,semantic_expanded,functional_connectivity,0.00013936567775132969,0.05,True
1.0,281,5Hz,episodic_expanded,functional_connectivity,0.0022430049908068045,0.05,True
1.0,281,5Hz,semantic_expanded,functional_connectivity,0.002510514854478013,0.05,True
