region_index,region_label,hemisphere,surrogate_amyloid,baseline_b,intermediate_b,high_b,b_reduction,weighted_structural_strength,structural_feature_basis,direct_connectivity_to_left_a1,direct_connectivity_to_right_a1,bilateral_a1_affinity,semantic_expanded_membership,episodic_expanded_membership,semantic_anatomical_core_membership,episodic_anatomical_core_membership,anatomical_core_membership,semantic_platel_peak_membership,episodic_platel_peak_membership,platel_peak_membership,raw_trace_region_membership
91,L_13l,L,2.03043984705687,0.07,0.05728831116883696,0.04457662233767391,0.025423377662326094,0.3532146276991179,symmetrized_0.5_times_W_plus_W_transpose,0.0004178478709723725,0.0006051786002165845,0.001023026471188957,False,False,False,False,False,False,False,False,False
92,L_OFC,L,2.52419219471378,0.07,0.04606902553329108,0.02213805106658215,0.04786194893341786,0.31445097912244374,symmetrized_0.5_times_W_plus_W_transpose,0.000620977721430163,0.000322922225198251,0.000943899946628414,False,False,False,False,False,False,False,False,False
93,L_47s,L,2.81849925982901,0.07,0.04517740921173825,0.020354818423476487,0.04964518157652352,0.33630079714767247,symmetrized_0.5_times_W_plus_W_transpose,0.00043581884501817645,0.0003598088615940324,0.0007956277066122088,False,False,False,False,False,False,False,False,False
94,L_LIPd,L,1.57899586705136,0.07,0.06853582074858348,0.06707164149716696,0.002928358502833045,0.3676601908277136,symmetrized_0.5_times_W_plus_W_transpose,0.001461892606949155,0.0007969966961033541,0.0022588893030525093,False,False,False,False,False,False,False,False,False
95,L_6a,L,1.69306359845913,0.07,0.06719120112767024,0.06438240225534046,0.005617597744659544,0.5637112833741637,symmetrized_0.5_times_W_plus_W_transpose,0.00169482347142851,0.0003846564148974455,0.0020794798863259553,False,False,False,False,False,False,False,False,False
96,L_i6-8,L,1.92552601053209,0.07,0.0612521418924049,0.0525042837848098,0.017495716215190207,0.45400376248005764,symmetrized_0.5_times_W_plus_W_transpose,0.000698718040779942,0.00041529559488847256,0.0011140136356684147,False,False,False,False,False,False,False,False,False
97,L_s6-8,L,1.4951772786344,0.07,0.06910999931833234,0.06821999863666467,0.0017800013633353373,0.37912746217918863,symmetrized_0.5_times_W_plus_W_transpose,0.0009315232696973899,0.000242475756110056,0.0011739990258074458,False,False,False,False,False,False,False,False,False
98,L_43,L,2.00341068127649,0.07,0.058338954353487106,0.046677908706974205,0.0233220912930258,0.40725393502748597,symmetrized_0.5_times_W_plus_W_transpose,0.001287237169748785,0.0006246792344227171,0.001911916404171502,False,False,False,False,False,False,False,False,False
99,L_OP4,L,2.15022627747397,0.07,0.05285921992022358,0.03571843984044715,0.03428156015955286,0.3806161370057735,symmetrized_0.5_times_W_plus_W_transpose,0.001685218776785625,0.0001783186389213925,0.0018635374157070176,False,False,False,False,False,False,False,False,False
100,L_OP1,L,1.99577814480076,0.07,0.05863413453763538,0.04726826907527075,0.022731730924729257,0.3659074689839316,symmetrized_0.5_times_W_plus_W_transpose,0.002168944376267595,0.00027432403418925646,0.0024432684104568514,False,False,False,False,False,False,False,False,False
