severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,target_locked_amplitude,ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,phase_eligible_fraction,phase_lag_degrees,median_phase_consistency_across_segments
1.0,11,2Hz,Semantic proxy,4,6.0,8.0,0.3227811855278129,0.019947763957536474,0.001130738041694703,0.05402851184637944,0.0026639800244692147,0.15384615384615385,34.53322245525063,0.6367954595098435
1.0,11,2Hz,Episodic proxy,4,6.0,8.0,0.09364751271906344,0.0039558706627846425,0.0002546995145430758,0.05402851184637944,0.0030741892422292416,0.6842105263157895,42.916505957066825,0.9094722048826204
1.0,11,2Hz,Semantic proxy,5,8.0,10.0,0.4060319272729739,0.0217318161651403,0.001307085209493615,0.054035235536250247,0.0028431223535112515,0.15384615384615385,40.081202225432754,0.6367954595098435
1.0,11,2Hz,Episodic proxy,5,8.0,10.0,0.08881923033623475,0.003468713026000588,0.00024932929593337607,0.05403523553625024,0.0008893789971792243,0.6842105263157895,-8.487303959661803,0.9094722048826204
1.0,11,5Hz,Semantic proxy,1,0.0,2.0,0.08422742104629308,0.007461670270689802,0.0007267107578080413,0.0747156100886398,0.0087941747180309,0.0,,
1.0,11,5Hz,Episodic proxy,1,0.0,2.0,0.016875479073176606,0.001222399994608196,0.00010370595840290151,0.0747156100886398,0.013937910683359034,0.5263157894736842,16.628625681397004,0.8236436655396596
1.0,11,5Hz,Semantic proxy,2,2.0,4.0,0.13117173468603938,0.012546657906880105,0.0009984353688789406,0.07479656065484147,0.008822388764558209,0.0,,
1.0,11,5Hz,Episodic proxy,2,2.0,4.0,0.030137829786399183,0.0018230455709973893,0.00014189760235986613,0.07479656065484148,0.006516612167489333,0.5263157894736842,1.7388228080505659,0.8236436655396596
1.0,11,5Hz,Semantic proxy,3,4.0,6.0,0.17435857173145133,0.01662874493537908,0.0015431772710573517,0.07465487672333859,0.008519388421197593,0.0,,
1.0,11,5Hz,Episodic proxy,3,4.0,6.0,0.04581881862629764,0.002129675912471432,0.00019004729687581724,0.07465487672333859,0.0022325848717072994,0.5263157894736842,-5.13683542882601,0.8236436655396596
1.0,11,5Hz,Semantic proxy,4,6.0,8.0,0.23335000474190906,0.021537105093101964,0.001782056134227787,0.07486557622657924,0.010101888122344915,0.0,,
1.0,11,5Hz,Episodic proxy,4,6.0,8.0,0.07105994942649574,0.0034805497458539375,0.000269755101578846,0.07486557622657924,0.009466058740058014,0.5263157894736842,29.59067111693347,0.8236436655396596
1.0,11,5Hz,Semantic proxy,5,8.0,10.0,0.29533824051803703,0.022177955567971006,0.001928540631414408,0.07462850944396204,0.0037190267019968637,0.0,,
1.0,11,5Hz,Episodic proxy,5,8.0,10.0,0.07116194973448527,0.003257201995102234,0.0002928357611257743,0.07462850944396204,0.0014269359672252069,0.5263157894736842,-57.14992887171936,0.8236436655396596
1.0,23,2Hz,Semantic proxy,1,0.0,2.0,0.11512168003564446,0.005397608039993396,0.00029940853960449556,0.05402113307729113,0.002652410080363099,0.23076923076923078,-58.33469948773679,0.3097310428185012
1.0,23,2Hz,Episodic proxy,1,0.0,2.0,0.0312552699818238,0.0015375194664068355,9.224531881607552e-05,0.05402113307729113,0.003720933925795533,0.631578947368421,18.127806259928512,0.9581547815498126
1.0,23,2Hz,Semantic proxy,2,2.0,4.0,0.1841461461722881,0.007365424166536726,0.0003995013241980854,0.05400931746414492,0.0010901833036639497,0.23076923076923078,-45.09285596301589,0.3097310428185012
1.0,23,2Hz,Episodic proxy,2,2.0,4.0,0.052618537909327474,0.001756991535006061,0.00011195608242045582,0.05400931746414492,0.0008362632434453232,0.631578947368421,6.040316808125004,0.9581547815498126
1.0,23,2Hz,Semantic proxy,3,4.0,6.0,0.25826043562944645,0.01773981394388052,0.0009583827870452991,0.054026951770105455,0.003849736846614382,0.23076923076923078,51.40411159850585,0.3097310428185012
1.0,23,2Hz,Episodic proxy,3,4.0,6.0,0.06590522257438546,0.002886299968937914,0.00020632188499884122,0.054026951770105455,0.002223581759584148,0.631578947368421,34.81259520382226,0.9581547815498126
1.0,23,2Hz,Semantic proxy,4,6.0,8.0,0.31349601489649226,0.020119324445074714,0.0011420948911151135,0.05402686094693401,0.002024917652626468,0.23076923076923078,-2.216226750438615,0.3097310428185012
1.0,23,2Hz,Episodic proxy,4,6.0,8.0,0.07685388559267542,0.002576711218526896,0.0002021355007288323,0.05402686094693401,0.0014478502952092187,0.631578947368421,-2.468234978080622,0.9581547815498126
1.0,23,2Hz,Semantic proxy,5,8.0,10.0,0.40016292927088415,0.02122641893437846,0.0012947125889593506,0.05405260199681906,0.0027221875625333958,0.23076923076923078,72.21525636676363,0.3097310428185012
1.0,23,2Hz,Episodic proxy,5,8.0,10.0,0.18018950938261882,0.003684980763699091,0.00023261014963614737,0.054052601996819064,0.0006879206129849491,0.631578947368421,11.417027185267607,0.9581547815498126
1.0,23,5Hz,Semantic proxy,1,0.0,2.0,0.08043221930751904,0.007073735680082003,0.0006864714605194409,0.0747656474907667,0.008420815539832205,0.23076923076923078,-26.367331276122442,0.9179789744732565
1.0,23,5Hz,Episodic proxy,1,0.0,2.0,0.019911655830873207,0.001419867504363014,0.00011880813490975487,0.0747656474907667,0.015237418034471206,0.5263157894736842,3.705935473470477,0.9754691005060716
1.0,23,5Hz,Semantic proxy,2,2.0,4.0,0.12457863422435432,0.012912576838638095,0.0010249557751551741,0.07464719924345832,0.007831243152105594,0.23076923076923078,36.135556683962506,0.9179789744732565
1.0,23,5Hz,Episodic proxy,2,2.0,4.0,0.032122635492763285,0.0016242399904291974,0.00012773877778449115,0.07464719924345833,0.005568725747560621,0.5263157894736842,4.729823539906106,0.9754691005060716
1.0,23,5Hz,Semantic proxy,3,4.0,6.0,0.17849170672938078,0.01616980634125725,0.0015447453480541826,0.07480504956169426,0.008085161772314331,0.23076923076923078,65.28620148347996,0.9179789744732565
1.0,23,5Hz,Episodic proxy,3,4.0,6.0,0.04464621372054174,0.0022891784504140648,0.00020502689153952815,0.07480504956169426,0.0035475625853074177,0.5263157894736842,19.827607725107175,0.9754691005060716
1.0,23,5Hz,Semantic proxy,4,6.0,8.0,0.23224164737906583,0.021155056621014395,0.0017583433241699302,0.07460007797182823,0.008427754661941012,0.23076923076923078,-31.928734285251906,0.9179789744732565
1.0,23,5Hz,Episodic proxy,4,6.0,8.0,0.04018975521257087,0.0024398545035078712,0.00019846604336612998,0.07460007797182824,0.00693935525878786,0.5263157894736842,25.623753342015856,0.9754691005060716
1.0,23,5Hz,Semantic proxy,5,8.0,10.0,0.29115722794647647,0.022588383297128665,0.001997024425354162,0.07481345104219853,0.0036856023906872704,0.23076923076923078,20.476487742679897,0.9179789744732565
1.0,23,5Hz,Episodic proxy,5,8.0,10.0,0.08451854044374046,0.002933273289514668,0.0002596439507275512,0.0748134510421985,0.002649469436846963,0.5263157894736842,-4.320255455846026,0.9754691005060716
0.0,37,2Hz,Semantic proxy,1,0.0,2.0,0.0002807622921606079,0.0002797330553949882,1.7217169941315267e-05,0.06154128087253384,0.9980074568442484,1.0,13.346959735811582,0.9999999876721106
0.0,37,2Hz,Episodic proxy,1,0.0,2.0,0.0005544236839496083,0.0005529668488831459,3.403158648993581e-05,0.06154128087253384,0.999363527398203,1.0,12.230649626912408,0.9999999986845919
0.0,37,2Hz,Semantic proxy,2,2.0,4.0,0.0002803070398040684,0.00027962453670605483,1.7210486398760217e-05,0.06154127354400121,0.9999872111316458,1.0,13.328841787192447,0.9999999876721106
0.0,37,2Hz,Episodic proxy,2,2.0,4.0,0.0005541110599958384,0.0005528489620307923,3.4024327184503243e-05,0.06154127354400121,0.9999881590054276,1.0,12.233084662062454,0.9999999986845919
0.0,37,2Hz,Semantic proxy,3,4.0,6.0,0.0002803097953115781,0.0002796273854148049,1.721066211798042e-05,0.06154127364096813,0.9999885299782841,1.0,13.331543706925896,0.9999999876721106
0.0,37,2Hz,Episodic proxy,3,4.0,6.0,0.0005541139690434769,0.0005528519352260091,3.402450966085242e-05,0.06154127364096814,0.9999886493343417,1.0,12.233781005496615,0.9999999986845919
0.0,37,2Hz,Semantic proxy,4,6.0,8.0,0.00028030934935039927,0.0002796269564491819,1.721063562155074e-05,0.06154127361056962,0.9999885710738419,1.0,13.331264104351321,0.9999999876721106
0.0,37,2Hz,Episodic proxy,4,6.0,8.0,0.0005541132798534985,0.0005528512449924608,3.402446714384706e-05,0.061541273610569616,0.9999886456146259,1.0,12.233784893716853,0.9999999986845919
0.0,37,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793681921,0.0002796269842072993,1.721063732597061e-05,0.061541273608948316,0.9999885688208019,1.0,13.331300938875797,0.9999999876721106
0.0,37,2Hz,Episodic proxy,5,8.0,10.0,0.000554113295122319,0.0005528512578500497,3.402446792884206e-05,0.061541273608948316,0.9999886456461095,1.0,12.233802981570843,0.9999999986845919
0.0,37,5Hz,Semantic proxy,1,0.0,2.0,0.00038801569992406696,0.0003870324375672618,3.177456950945886e-05,0.08208611545413434,0.9979602103263557,1.0,30.668091341127248,0.9999999684215362
0.0,37,5Hz,Episodic proxy,1,0.0,2.0,0.0007577839242122129,0.0007562992300167738,6.208436479660485e-05,0.08208611545413436,0.9987314209376589,1.0,27.75512882292794,0.9999999811604494
0.0,37,5Hz,Semantic proxy,2,2.0,4.0,0.0003877806199554694,0.00038695901337330076,3.176853744395712e-05,0.08208608903053846,0.9986533774565678,1.0,30.716179475177995,0.9999999684215362
0.0,37,5Hz,Episodic proxy,2,2.0,4.0,0.0007576489133911994,0.0007562572455401092,6.20808966738832e-05,0.08208608903053846,0.9989675636965685,1.0,27.783046972592704,0.9999999811604494
0.0,37,5Hz,Semantic proxy,3,4.0,6.0,0.00038778752080129955,0.0003869680157487254,3.17692777383456e-05,0.08208608958312036,0.998667438078953,1.0,30.716792837892235,0.9999999684215362
0.0,37,5Hz,Episodic proxy,3,4.0,6.0,0.0007576548853676653,0.0007562648114632298,6.208151760641947e-05,0.08208608958312036,0.9989711151407363,1.0,27.783056517237153,0.9999999811604494
0.0,37,5Hz,Semantic proxy,4,6.0,8.0,0.00038778719503436735,0.00038696756576479607,3.176924057793696e-05,0.08208608956218136,0.9986654264974142,1.0,30.716791514077087,0.9999999684215362
0.0,37,5Hz,Episodic proxy,4,6.0,8.0,0.000757654935755404,0.000756264833996976,6.208151963177483e-05,0.08208608956218137,0.9989711166405338,1.0,27.783086873246333,0.9999999811604494
