severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,broadband_first_half,broadband_second_half,broadband_split_abs_log2,fc_first_half_z,fc_second_half_z,fc_split_abs_z
1.0,11,2Hz,Semantic proxy,2,2.0,4.0,0.1877303506989854,0.0072356576630709,0.1734260357452781,0.3443844533489941,0.9896995154316052,0.0227770787494424,0.0140928631960168,0.0086842155534255
1.0,11,2Hz,Semantic proxy,3,4.0,6.0,0.2452328571689216,0.017480584540386,0.1734260357452781,0.3443844533489941,0.9896995154316052,0.0227770787494424,0.0140928631960168,0.0086842155534255
1.0,11,2Hz,Semantic proxy,4,6.0,8.0,0.3227811855278129,0.0199477639575364,0.1734260357452781,0.3443844533489941,0.9896995154316052,0.0227770787494424,0.0140928631960168,0.0086842155534255
1.0,11,2Hz,Semantic proxy,5,8.0,10.0,0.4060319272729739,0.0217318161651403,0.1734260357452781,0.3443844533489941,0.9896995154316052,0.0227770787494424,0.0140928631960168,0.0086842155534255
1.0,11,2Hz,Episodic proxy,1,0.0,2.0,0.0222581483708884,0.0014320631659075,0.038100943018189,0.0906731655352882,1.2508489468236663,0.0544516069491204,0.0272753690837517,0.0271762378653686
1.0,11,2Hz,Episodic proxy,2,2.0,4.0,0.0393168233036233,0.0019047531111273,0.038100943018189,0.0906731655352882,1.2508489468236663,0.0544516069491204,0.0272753690837517,0.0271762378653686
1.0,11,2Hz,Episodic proxy,3,4.0,6.0,0.0646488968471392,0.002675511948307,0.038100943018189,0.0906731655352882,1.2508489468236663,0.0544516069491204,0.0272753690837517,0.0271762378653686
1.0,11,2Hz,Episodic proxy,4,6.0,8.0,0.0936475127190634,0.0039558706627846,0.038100943018189,0.0906731655352882,1.2508489468236663,0.0544516069491204,0.0272753690837517,0.0271762378653686
1.0,11,2Hz,Episodic proxy,5,8.0,10.0,0.0888192303362347,0.0034687130260005,0.038100943018189,0.0906731655352882,1.2508489468236663,0.0544516069491204,0.0272753690837517,0.0271762378653686
1.0,11,5Hz,Semantic proxy,1,0.0,2.0,0.0842274210462931,0.0074616702706898,0.1232768226731657,0.2531743478127112,1.0382296515656082,-0.0047863179689988,0.0047326900191688,0.0095190079881676
1.0,11,5Hz,Semantic proxy,2,2.0,4.0,0.1311717346860393,0.0125466579068801,0.1232768226731657,0.2531743478127112,1.0382296515656082,-0.0047863179689988,0.0047326900191688,0.0095190079881676
1.0,11,5Hz,Semantic proxy,3,4.0,6.0,0.1743585717314513,0.016628744935379,0.1232768226731657,0.2531743478127112,1.0382296515656082,-0.0047863179689988,0.0047326900191688,0.0095190079881676
1.0,11,5Hz,Semantic proxy,4,6.0,8.0,0.233350004741909,0.0215371050931019,0.1232768226731657,0.2531743478127112,1.0382296515656082,-0.0047863179689988,0.0047326900191688,0.0095190079881676
1.0,11,5Hz,Semantic proxy,5,8.0,10.0,0.295338240518037,0.0221779555679709,0.1232768226731657,0.2531743478127112,1.0382296515656082,-0.0047863179689988,0.0047326900191688,0.0095190079881676
1.0,11,5Hz,Episodic proxy,1,0.0,2.0,0.0168754790731766,0.0012223999946081,0.028099065302368,0.0691542835699707,1.2992964769733033,0.0575449378938689,0.0277996940392294,0.0297452438546394
1.0,11,5Hz,Episodic proxy,2,2.0,4.0,0.0301378297863991,0.0018230455709973,0.028099065302368,0.0691542835699707,1.2992964769733033,0.0575449378938689,0.0277996940392294,0.0297452438546394
1.0,11,5Hz,Episodic proxy,3,4.0,6.0,0.0458188186262976,0.0021296759124714,0.028099065302368,0.0691542835699707,1.2992964769733033,0.0575449378938689,0.0277996940392294,0.0297452438546394
1.0,11,5Hz,Episodic proxy,4,6.0,8.0,0.0710599494264957,0.0034805497458539,0.028099065302368,0.0691542835699707,1.2992964769733033,0.0575449378938689,0.0277996940392294,0.0297452438546394
1.0,11,5Hz,Episodic proxy,5,8.0,10.0,0.0711619497344852,0.0032572019951022,0.028099065302368,0.0691542835699707,1.2992964769733033,0.0575449378938689,0.0277996940392294,0.0297452438546394
1.0,23,2Hz,Semantic proxy,1,0.0,2.0,0.1151216800356444,0.0053976080399933,0.1694719486732857,0.3407383119890305,1.0076176750989956,0.0205405378281175,0.0149279528088479,0.0056125850192695
1.0,23,2Hz,Semantic proxy,2,2.0,4.0,0.1841461461722881,0.0073654241665367,0.1694719486732857,0.3407383119890305,1.0076176750989956,0.0205405378281175,0.0149279528088479,0.0056125850192695
1.0,23,2Hz,Semantic proxy,3,4.0,6.0,0.2582604356294465,0.0177398139438805,0.1694719486732857,0.3407383119890305,1.0076176750989956,0.0205405378281175,0.0149279528088479,0.0056125850192695
1.0,23,2Hz,Semantic proxy,4,6.0,8.0,0.3134960148964921,0.0201193244450746,0.1694719486732857,0.3407383119890305,1.0076176750989956,0.0205405378281175,0.0149279528088479,0.0056125850192695
1.0,23,2Hz,Semantic proxy,5,8.0,10.0,0.400162929270884,0.0212264189343784,0.1694719486732857,0.3407383119890305,1.0076176750989956,0.0205405378281175,0.0149279528088479,0.0056125850192695
1.0,23,2Hz,Episodic proxy,1,0.0,2.0,0.0312552699818238,0.0015375194664068,0.047702154571755,0.1285823124291027,1.4305658662827354,0.0465921166768616,0.0377875576440762,0.0088045590327853
1.0,23,2Hz,Episodic proxy,2,2.0,4.0,0.0526185379093274,0.001756991535006,0.047702154571755,0.1285823124291027,1.4305658662827354,0.0465921166768616,0.0377875576440762,0.0088045590327853
1.0,23,2Hz,Episodic proxy,3,4.0,6.0,0.0659052225743854,0.0028862999689379,0.047702154571755,0.1285823124291027,1.4305658662827354,0.0465921166768616,0.0377875576440762,0.0088045590327853
1.0,23,2Hz,Episodic proxy,4,6.0,8.0,0.0768538855926754,0.0025767112185268,0.047702154571755,0.1285823124291027,1.4305658662827354,0.0465921166768616,0.0377875576440762,0.0088045590327853
