severity,probe,network,signal,frequency_hz,median_power,minimum_power,maximum_power,numerical_initializations,log10_median_power,severity_label,series
0.0,2Hz,Episodic proxy,Control,8.9,3.950473907150145e-12,3.80314338430231e-12,4.188967700744583e-12,20,-11.40335080236981,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.0,4.30051471549078e-12,4.150453254282495e-12,4.5462264266938034e-12,20,-11.366479561927491,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.1,4.700203702427057e-12,4.547040611288559e-12,4.954227251870951e-12,20,-11.327883319740248,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.200000000000001,5.155348149722277e-12,5.00002618781071e-12,5.4167685001091e-12,20,-11.287742000720375,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.3,5.689801646188971e-12,5.530620344204438e-12,5.960845235557723e-12,20,-11.24490287340583,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.4,6.300806278583506e-12,6.1399168034134785e-12,6.580998294303791e-12,20,-11.200603872779023,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.5,6.995903544286795e-12,6.832697899720481e-12,7.286073773733881e-12,20,-11.155156186968199,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.600000000000001,7.799190844119248e-12,7.631860404438953e-12,8.098711012323103e-12,20,-11.107950452458576,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.700000000000001,8.758079932378575e-12,8.581338962604186e-12,9.060230478728315e-12,20,-11.057591095449839,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.8,9.954952655347005e-12,9.769035840789715e-12,1.0265925024348895e-11,20,-11.001960801088147,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,9.9,1.1415481088937496e-11,1.1222890214217306e-11,1.173088903261358e-11,20,-10.94250578107535,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.0,1.3196897703590304e-11,1.3000200689116242e-11,1.3524244582539796e-11,20,-10.87952814974573,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.100000000000001,1.544148393188482e-11,1.5237101533119004e-11,1.5774736186809644e-11,20,-10.811310966146557,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.200000000000001,1.8270869258740977e-11,1.802657289985581e-11,1.8605193672503536e-11,20,-10.73824079006979,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.3,2.1957486991266767e-11,2.1648029092831114e-11,2.2280171069078165e-11,20,-10.65841736587392,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.4,2.6695972406310997e-11,2.6309860133034095e-11,2.6982018328299728e-11,20,-10.573554255251715,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.5,3.3224585528142374e-11,3.2738019452254824e-11,3.3472367544745607e-11,20,-10.478540428111744,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.600000000000001,4.288690955379759e-11,4.223505578429518e-11,4.319402177271045e-11,20,-10.367675248050729,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.700000000000001,5.65658692657964e-11,5.5603010926906114e-11,5.711080764729123e-11,20,-10.247445534545276,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.8,7.615298862051753e-11,7.472851233909249e-11,7.708191682383559e-11,20,-10.118313048126623,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,10.9,1.0432496066556149e-10,1.0202946994515177e-10,1.0572083375092743e-10,20,-9.981611770361596,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.0,1.4355355050560979e-10,1.4000097556783326e-10,1.4563158967553398e-10,20,-9.842986061642394,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.100000000000001,1.9857347588509397e-10,1.9334746196247434e-10,2.0176826315167593e-10,20,-9.70207876211476,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.200000000000001,2.674285849598717e-10,2.5998023740219477e-10,2.721201764414126e-10,20,-9.57279217363782,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.3,3.323954217312349e-10,3.2267126960457143e-10,3.3869922245472063e-10,20,-9.478344966628462,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.4,3.718125386354494e-10,3.604472205115263e-10,3.793334394660353e-10,20,-9.429675968602941,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.5,3.7146870813172046e-10,3.596937040559407e-10,3.794870107256464e-10,20,-9.430077764563164,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.600000000000001,3.296805535688356e-10,3.187882144073544e-10,3.3723397085775516e-10,20,-9.48190666925607,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.700000000000001,2.623879931503276e-10,2.5328189062375293e-10,2.687150056694157e-10,20,-9.58105604211598,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,11.8,1.9351531916123623e-10,1.8649435397886955e-10,1.9844356950340416e-10,20,-9.713284649436542,0.0,Control · Episodic proxy
